File.name	Embryonic.day	Total.number.of.cells	lineage	genotype	ScanDate	sampleGroup	sampleColour
1_C32_IN	E3.25	32		WT	2011-03-16	E3.25	#CAB2D6
2_C32_IN	E3.25	32		WT	2011-03-16	E3.25	#CAB2D6
3_C32_IN	E3.25	32		WT	2011-03-16	E3.25	#CAB2D6
4_C32_IN	E3.25	32		WT	2011-03-16	E3.25	#CAB2D6
5_C32_IN	E3.25	32		WT	2011-03-16	E3.25	#CAB2D6
6_C32_IN	E3.25	32		WT	2011-03-16	E3.25	#CAB2D6
7_C32_IN	E3.25	32		WT	2011-03-16	E3.25	#CAB2D6
8_C32_IN	E3.25	32		WT	2011-03-16	E3.25	#CAB2D6
9_C32_IN	E3.25	32		WT	2011-03-16	E3.25	#CAB2D6
10_C32_IN	E3.25	32		WT	2011-03-16	E3.25	#CAB2D6
11_C32_IN	E3.25	32		WT	2011-03-16	E3.25	#CAB2D6
12_C33_IN	E3.25	33		WT	2011-03-15	E3.25	#CAB2D6
13_C33_IN	E3.25	33		WT	2011-03-15	E3.25	#CAB2D6
14_C33_IN	E3.25	33		WT	2011-03-15	E3.25	#CAB2D6
15_C33_IN	E3.25	33		WT	2011-03-15	E3.25	#CAB2D6
16_C33_IN	E3.25	33		WT	2011-03-15	E3.25	#CAB2D6
17_C33_IN	E3.25	33		WT	2011-03-15	E3.25	#CAB2D6
18_C34_IN	E3.25	34		WT	2010-07-02	E3.25	#CAB2D6
19_C34_IN	E3.25	34		WT	2010-07-02	E3.25	#CAB2D6
20_C34_IN	E3.25	34		WT	2010-07-02	E3.25	#CAB2D6
21_C34_IN	E3.25	34		WT	2010-07-02	E3.25	#CAB2D6
22_C34_IN	E3.25	34		WT	2010-07-02	E3.25	#CAB2D6
23_C41_IN	E3.25	41		WT	2010-07-02	E3.25	#CAB2D6
24_C41_IN	E3.25	41		WT	2010-07-02	E3.25	#CAB2D6
25_C41_IN	E3.25	41		WT	2010-07-02	E3.25	#CAB2D6
26_C41_IN	E3.25	41		WT	2010-07-02	E3.25	#CAB2D6
27_C49_IN	E3.25	49		WT	2010-07-02	E3.25	#CAB2D6
28_C49_IN	E3.25	49		WT	2010-07-02	E3.25	#CAB2D6
29_C49_IN	E3.25	49		WT	2010-07-02	E3.25	#CAB2D6
30_C49_IN	E3.25	49		WT	2010-07-02	E3.25	#CAB2D6
31_C50_IN	E3.25	50		WT	2010-07-02	E3.25	#CAB2D6
32_C50_IN	E3.25	50		WT	2010-07-02	E3.25	#CAB2D6
33_C50_IN	E3.25	50		WT	2010-07-02	E3.25	#CAB2D6
34_C50_IN	E3.25	50		WT	2010-07-02	E3.25	#CAB2D6
35_C50_IN	E3.25	50		WT	2010-07-02	E3.25	#CAB2D6
36_C50_IN	E3.25	50		WT	2010-07-02	E3.25	#CAB2D6
37_C62_PE	E3.5	62	PE	WT	2010-06-30	E3.5 (PE)	#B2DF8A
38_C62_PE	E3.5	62	PE	WT	2010-06-30	E3.5 (PE)	#B2DF8A
39_C62_EPI	E3.5	62	EPI	WT	2010-06-30	E3.5 (EPI)	#A6CEE3
40_C62_EPI	E3.5	62	EPI	WT	2010-06-30	E3.5 (EPI)	#A6CEE3
41_C62_PE	E3.5	62	PE	WT	2010-07-01	E3.5 (PE)	#B2DF8A
42_C62_EPI	E3.5	62	EPI	WT	2010-07-01	E3.5 (EPI)	#A6CEE3
43_C75_PE	E3.5	75	PE	WT	2010-07-01	E3.5 (PE)	#B2DF8A
44_C75_EPI	E3.5	75	EPI	WT	2010-07-01	E3.5 (EPI)	#A6CEE3
45_C75_EPI	E3.5	75	EPI	WT	2010-07-01	E3.5 (EPI)	#A6CEE3
46_C75_EPI	E3.5	75	EPI	WT	2010-07-01	E3.5 (EPI)	#A6CEE3
47_C75_EPI	E3.5	75	EPI	WT	2010-07-01	E3.5 (EPI)	#A6CEE3
48_C75_EPI	E3.5	75	EPI	WT	2010-07-01	E3.5 (EPI)	#A6CEE3
49_C75_PE	E3.5	75	PE	WT	2010-07-01	E3.5 (PE)	#B2DF8A
50_C75_PE	E3.5	75	PE	WT	2010-07-01	E3.5 (PE)	#B2DF8A
51_C91_PE	E3.5	91	PE	WT	2010-09-16	E3.5 (PE)	#B2DF8A
52_C91_PE	E3.5	91	PE	WT	2010-09-16	E3.5 (PE)	#B2DF8A
53_C91_PE	E3.5	91	PE	WT	2010-09-16	E3.5 (PE)	#B2DF8A
54_C91_PE	E3.5	91	PE	WT	2010-09-16	E3.5 (PE)	#B2DF8A
55_C91_EPI	E3.5	91	EPI	WT	2010-09-16	E3.5 (EPI)	#A6CEE3
56_C91_EPI	E3.5	91	EPI	WT	2010-09-16	E3.5 (EPI)	#A6CEE3
57_C91_EPI	E3.5	91	EPI	WT	2010-09-16	E3.5 (EPI)	#A6CEE3
58_C91_PE	E3.5	91	PE	WT	2010-09-16	E3.5 (PE)	#B2DF8A
59_C207_PE	E4.5	207	PE	WT	2010-07-01	E4.5 (PE)	#33A02C
60_C207_EPI	E4.5	207	EPI	WT	2010-07-01	E4.5 (EPI)	#1F78B4
61_C207_PE	E4.5	207	PE	WT	2010-07-01	E4.5 (PE)	#33A02C
62_C207_EPI	E4.5	207	EPI	WT	2010-07-01	E4.5 (EPI)	#1F78B4
63_C207_EPI	E4.5	207	EPI	WT	2010-07-01	E4.5 (EPI)	#1F78B4
64_C207_EPI	E4.5	207	EPI	WT	2010-07-01	E4.5 (EPI)	#1F78B4
65_C207_PE	E4.5	207	PE	WT	2010-07-02	E4.5 (PE)	#33A02C
66_C207_PE	E4.5	207	PE	WT	2010-07-02	E4.5 (PE)	#33A02C
67_e3.25_KO	E3.25	32	FGF4-KO	FGF4-KO	2012-03-16	E3.25 (FGF4-KO)	#FDBF6F
68_e3.25_KO	E3.25	32	FGF4-KO	FGF4-KO	2012-03-16	E3.25 (FGF4-KO)	#FDBF6F
69_e3.25_KO	E3.25	32	FGF4-KO	FGF4-KO	2012-03-16	E3.25 (FGF4-KO)	#FDBF6F
70_e3.25_KO	E3.25	32	FGF4-KO	FGF4-KO	2012-03-16	E3.25 (FGF4-KO)	#FDBF6F
71_e3.25_KO	E3.25	32	FGF4-KO	FGF4-KO	2012-03-16	E3.25 (FGF4-KO)	#FDBF6F
72_e3.25_KO	E3.25	32	FGF4-KO	FGF4-KO	2012-03-16	E3.25 (FGF4-KO)	#FDBF6F
73_e3.25_KO	E3.25	32	FGF4-KO	FGF4-KO	2012-03-16	E3.25 (FGF4-KO)	#FDBF6F
74_e3.25_KO	E3.25	32	FGF4-KO	FGF4-KO	2012-03-16	E3.25 (FGF4-KO)	#FDBF6F
84_e3.25_KO	E3.25	NA	FGF4-KO	FGF4-KO	2012-08-16	E3.25 (FGF4-KO)	#FDBF6F
85_e3.25_KO	E3.25	NA	FGF4-KO	FGF4-KO	2012-08-16	E3.25 (FGF4-KO)	#FDBF6F
86_e3.25_KO	E3.25	NA	FGF4-KO	FGF4-KO	2012-08-16	E3.25 (FGF4-KO)	#FDBF6F
87_e3.25_KO	E3.25	NA	FGF4-KO	FGF4-KO	2012-08-16	E3.25 (FGF4-KO)	#FDBF6F
88_e3.25_KO	E3.25	NA	FGF4-KO	FGF4-KO	2012-08-16	E3.25 (FGF4-KO)	#FDBF6F
89_e3.25_KO	E3.25	NA	FGF4-KO	FGF4-KO	2012-08-16	E3.25 (FGF4-KO)	#FDBF6F
90_e3.25_KO	E3.25	NA	FGF4-KO	FGF4-KO	2012-08-16	E3.25 (FGF4-KO)	#FDBF6F
91_e3.25_KO	E3.25	NA	FGF4-KO	FGF4-KO	2012-08-16	E3.25 (FGF4-KO)	#FDBF6F
92_e3.25_KO	E3.25	NA	FGF4-KO	FGF4-KO	2012-08-16	E3.25 (FGF4-KO)	#FDBF6F
118_e3.5_KO	E3.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E3.5 (FGF4-KO)	#FF7F00
119_e3.5_KO	E3.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E3.5 (FGF4-KO)	#FF7F00
120_e3.5_KO	E3.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E3.5 (FGF4-KO)	#FF7F00
121_e3.5_KO	E3.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E3.5 (FGF4-KO)	#FF7F00
122_e3.5_KO	E3.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E3.5 (FGF4-KO)	#FF7F00
123_e3.5_KO	E3.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E3.5 (FGF4-KO)	#FF7F00
124_e3.5_KO	E3.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E3.5 (FGF4-KO)	#FF7F00
125_e3.5_KO	E3.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E3.5 (FGF4-KO)	#FF7F00
126_e4.5_KO	E4.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E4.5 (FGF4-KO)	#E31A1C
127_e4.5_KO	E4.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E4.5 (FGF4-KO)	#E31A1C
128_e4.5_KO	E4.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E4.5 (FGF4-KO)	#E31A1C
129_e4.5_KO	E4.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E4.5 (FGF4-KO)	#E31A1C
130_e4.5_KO	E4.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E4.5 (FGF4-KO)	#E31A1C
131_e4.5_KO	E4.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E4.5 (FGF4-KO)	#E31A1C
132_e4.5_KO	E4.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E4.5 (FGF4-KO)	#E31A1C
133_e4.5_KO	E4.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E4.5 (FGF4-KO)	#E31A1C
134_e4.5_KO	E4.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E4.5 (FGF4-KO)	#E31A1C
135_e4.5_KO	E4.5	NA	FGF4-KO	FGF4-KO	2013-03-05	E4.5 (FGF4-KO)	#E31A1C
